LATEST,SPEED,LOAD,MAP,IAT,RPM,DISTANCE,FUEL_USED,FUEL_CONSUMPTION,INSTANT_FUEL_CONSUMPTION,LATITUDE,LONGITUDE,ALTITUDE,HEADING,SPEED_GPS,TIME_GPS,X,Y,Z,AAT,AAP
1716020157421738000,105,91.37254901960785,95,31,3967.75,9048.74137,237.5338773931,6.161147194256591,9.497018521162346,46.759502499999996,23.5088915,384.5,74.04,105.838,08:15:57+00:00,-24,13,146,13.949999999999989,101.8
1716020157662072000,105,91.37254901960785,95,31,3967.75,9055.751112,238.0285047266,6.162064269078835,9.497018521162346,46.759502499999996,23.5088915,384.5,74.04,105.838,08:15:57+00:00,-14,12,126,13.949999999999989,101.8
1716020157901929000,105,91.37254901960785,95,31,3903.75,9062.746941,238.5126150528,6.162928703550035,9.313573288,46.7595795,23.509258166666665,386.2,72.36,104.852,08:15:58+00:00,-16,14,114,13.949999999999989,101.8
1716020157901929000,105,91.37254901960785,95,31,3903.75,9062.746941,238.5126150528,6.162928703550035,9.313573288,46.7595795,23.509258166666665,386.2,72.36,104.852,08:15:58+00:00,-12,7,106,13.949999999999989,101.8
1716020158141528000,105,90.58823529411765,95,31,3903.75,9069.735245,238.9920536663,6.163769836218531,9.233628452521362,46.7595795,23.509258166666665,386.2,72.36,104.852,08:15:58+00:00,-13,13,89,13.949999999999989,101.8
1716020158382619000,105,90.58823529411765,95,31,3903.75,9076.767066,239.4744777782,6.164615741685185,9.233628452521362,46.7595795,23.509258166666665,386.2,72.36,104.852,08:15:58+00:00,-13,13,89,13.949999999999989,101.8
1716020158622365000,105,90.58823529411765,95,31,3839.75,9083.759658,239.9447366676,6.165406513562095,9.051280654259745,46.7595795,23.509258166666665,386.2,72.36,104.852,08:15:58+00:00,-9,8,90,13.949999999999989,101.8
1716020158861274000,105,91.37254901960785,95,31,3839.75,9090.727837,240.4174110826,6.166215480620955,9.129646720530388,46.7595795,23.509258166666665,386.2,72.36,104.852,08:15:58+00:00,-8,13,106,13.949999999999989,101.8
1716020158861274000,105,91.37254901960785,95,31,3839.75,9090.727837,240.4174110826,6.166215480620955,9.129646720530388,46.75966233333333,23.509618,387.5,71.03,104.161,08:15:59+00:00,-10,9,83,13.949999999999989,101.8
1716020159071233000,102,91.37254901960785,95,31,3839.75,9096.676675,240.8328087759,6.166968305212416,9.398165741459206,46.75966233333333,23.509618,387.5,71.03,104.161,08:15:59+00:00,-13,9,104,13.949999999999989,101.8
1716020159310985000,102,91.37254901960785,95,31,3839.75,9103.469648,241.3071510416,6.167827526180805,9.398165741459206,46.75966233333333,23.509618,387.5,71.03,104.161,08:15:59+00:00,-10,6,88,13.949999999999989,101.8
1716020159551976000,102,91.37254901960785,95,31,3839.75,9110.297727,241.7839446323,6.168690727082548,9.398165741459206,46.75966233333333,23.509618,387.5,71.03,104.161,08:15:59+00:00,-10,2,93,13.949999999999989,101.8
1716020159791414000,102,89.01960784313727,95,31,3839.75,9117.081803,242.2454668335,6.169483672454155,9.156152889747812,46.75966233333333,23.509618,387.5,71.03,104.161,08:15:59+00:00,-6,9,109,13.949999999999989,101.8
1716020159791414000,102,89.01960784313727,95,31,3839.75,9117.081803,242.2454668335,6.169483672454155,9.156152889747812,46.75974983333333,23.509975833333332,387.7,70.23,104.732,08:16:00+00:00,-6,5,121,13.949999999999989,101.8
1716020160032455000,102,89.01960784313727,74,31,3839.75,9123.911298,242.7100788538,6.170281501414035,9.156152889747812,46.75974983333333,23.509975833333332,387.7,70.23,104.732,08:16:00+00:00,-12,-1,113,13.949999999999989,101.8
1716020160302413000,102,89.01960784313727,74,31,3839.75,9131.560108,243.2304290505,6.171174537766735,9.156152889747812,46.75974983333333,23.509975833333332,387.7,70.23,104.732,08:16:00+00:00,-5,-1,132,13.949999999999989,101.8
1716020160541789000,102,17.647058823529413,74,31,3839.75,9138.342428,243.3218965451,6.170019588,1.8150963878354693,46.75974983333333,23.509975833333332,387.7,70.23,104.732,08:16:00+00:00,-6,1,113,13.949999999999989,101.8
1716020160541789000,102,17.647058823529413,74,31,3839.75,9138.342428,243.3218965451,6.170019588,1.8150963878354693,46.75974983333333,23.509975833333332,387.7,70.23,104.732,08:16:00+00:00,-6,-2,115,13.949999999999989,101.8
1716020160781942000,100,17.647058823529413,74,31,3839.75,9145.013345,243.4136609376,6.168893671346318,1.8513983155558764,46.75984,23.5103305,387.2,69.56,103.889,08:16:01+00:00,-9,-1,131,13.949999999999989,101.8
1716020161021733000,100,17.647058823529413,79,31,3839.75,9151.674206,243.5052870070,6.1677700370660204,1.8513983155558764,46.75984,23.5103305,387.2,69.56,103.889,08:16:01+00:00,-8,8,132,13.949999999999989,101.8
1716020161262031000,100,17.647058823529413,79,31,3839.75,9158.349151,243.5971068052,6.166644613597456,1.8513983155558764,46.75984,23.5103305,387.2,69.56,103.889,08:16:01+00:00,-7,8,113,13.949999999999989,101.8
1716020161262031000,100,17.647058823529413,79,31,3839.75,9158.349151,243.5971068052,6.166644613597456,1.8513983155558764,46.75984,23.5103305,387.2,69.56,103.889,08:16:01+00:00,-8,8,121,13.949999999999989,101.8
1716020161501726000,100,91.37254901960785,79,31,3839.75,9165.007345,244.0713362981,6.167533719809352,9.586129056100427,46.75984,23.5103305,387.2,69.56,103.889,08:16:01+00:00,-13,8,127,13.949999999999989,101.8
1716020161741304000,100,91.37254901960785,79,31,3839.75,9171.662289,244.5453343099,6.168421930132788,9.586129056100427,46.75984,23.5103305,387.2,69.56,103.889,08:16:01+00:00,-5,12,123,13.949999999999989,101.8
1716020161981181000,100,91.37254901960785,95,31,3839.75,9178.325539,245.0199238844,6.169310786678381,9.586129056100427,46.75993283333333,23.510685666666667,386.9,68.98,104.77,08:16:02+00:00,-3,11,128,13.949999999999989,101.8
1716020161981181000,100,91.37254901960785,95,31,3839.75,9178.325539,245.0199238844,6.169310786678381,9.586129056100427,46.75993283333333,23.510685666666667,386.9,68.98,104.77,08:16:02+00:00,-4,5,122,13.949999999999989,101.8
1716020162252082000,100,91.37254901960785,95,31,3903.75,9185.850567,245.5666912144,6.170370751412749,9.779251951522856,46.75993283333333,23.510685666666667,386.9,68.98,104.77,08:16:02+00:00,-4,13,126,13.949999999999989,101.8
1716020162490989000,100,91.37254901960785,95,31,3903.75,9192.486873,246.0488841280,6.171305015598018,9.779251951522856,46.75993283333333,23.510685666666667,386.9,68.98,104.77,08:16:02+00:00,-2,7,115,13.949999999999989,101.8
1716020162733873000,103,91.37254901960785,95,31,3903.75,9199.436054,246.5391039358,6.1722056155993705,9.494419370687076,46.75993283333333,23.510685666666667,386.9,68.98,104.77,08:16:02+00:00,6,6,150,13.949999999999989,101.8
1716020162733873000,103,91.37254901960785,95,31,3903.75,9199.436054,246.5391039358,6.1722056155993705,9.494419370687076,46.760028166666665,23.5110435,386.6,68.71,105.903,08:16:03+00:00,-5,9,129,13.949999999999989,101.8
1716020163001649000,103,91.37254901960785,95,31,3903.75,9207.097423,247.0795639878,6.173197948134547,9.494419370687076,46.760028166666665,23.5110435,386.6,68.71,105.903,08:16:03+00:00,2,4,94,13.949999999999989,101.8
1716020163242140000,103,91.37254901960785,95,31,3967.75,9213.978137,247.5745144403,6.174138815154389,9.681426648,46.760028166666665,23.5110435,386.6,68.71,105.903,08:16:03+00:00,3,5,123,13.949999999999989,101.8
1716020163481662000,103,90.58823529411765,95,31,3967.75,9220.831128,248.0632392269,6.175053198,9.598324272950242,46.760028166666665,23.5110435,386.6,68.71,105.903,08:16:03+00:00,14,10,136,13.949999999999989,101.8
1716020163720699000,103,90.58823529411765,95,31,3967.75,9227.670242,248.5509744112,6.175965243239082,9.598324272950242,46.760028166666665,23.5110435,386.6,68.71,105.903,08:16:03+00:00,14,10,136,13.949999999999989,101.8
1716020163720699000,103,90.58823529411765,95,31,3967.75,9227.670242,248.5509744112,6.175965243239082,9.598324272950242,46.760122833333334,23.511406333333333,386.5,69.42,107.066,08:16:04+00:00,6,11,115,13.949999999999989,101.8
1716020163961902000,103,90.58823529411765,95,31,3967.75,9234.571328,249.0431291390,6.176885060051828,9.598324272950242,46.760122833333334,23.511406333333333,386.5,69.42,107.066,08:16:04+00:00,9,14,110,13.949999999999989,101.8
1716020164231370000,103,90.58823529411765,95,31,3967.75,9242.281107,249.5929562564,6.177912079612398,9.598324272950242,46.760122833333334,23.511406333333333,386.5,69.42,107.066,08:16:04+00:00,10,12,140,13.949999999999989,101.8
1716020164471156000,105,90.58823529411765,95,31,3967.75,9249.274865,250.0822197131,6.178793416177773,9.415499048877688,46.760122833333334,23.511406333333333,386.5,69.42,107.066,08:16:04+00:00,9,5,134,13.949999999999989,101.8
