LATEST,SPEED,LOAD,MAP,IAT,RPM,DISTANCE,FUEL_USED,FUEL_CONSUMPTION,INSTANT_FUEL_CONSUMPTION,LATITUDE,LONGITUDE,ALTITUDE,HEADING,SPEED_GPS,TIME_GPS,X,Y,Z,AAT,AAP
1716019694809009000,17.0,17.647058823529413,44,33,1023.75,2765.0141688889,152.3277446205,5.311118042454183,1.6208269887001927,46.76108766666667,23.500103666666668,420.8,99.0,15.511,08:08:14+00:00,32,-22,104,13.949999999999989,101.8
1716019695049936000,13.0,17.647058823529413,44,33,1023.75,2765.8841830556,152.3414457815,5.310973483274539,2.119542981387052,46.76107983333333,23.500144166666665,420.8,107.97,9.889,08:08:15+00:00,24,-23,140,13.949999999999989,101.8
1716019695289425000,13.0,17.647058823529413,41,33,1023.75,2766.7490044445,152.3550651655,5.3108297998904135,2.119542981387052,46.76107983333333,23.500144166666665,420.8,107.97,9.889,08:08:15+00:00,22,-15,114,13.949999999999989,101.8
1716019695528975000,13.0,17.647058823529413,41,33,1023.75,2767.6140461111,152.3686880186,5.3106860928509185,2.119542981387052,46.76107983333333,23.500144166666665,420.8,107.97,9.889,08:08:15+00:00,37,-12,116,13.949999999999989,101.8
1716019695799873000,13.0,20.39215686,41,33,1023.75,2768.5922888889,152.3864900075,5.310540384711373,2.449249667380594,46.7610725,23.500166833333335,420.8,113.15,5.692,08:08:16+00:00,22,-12,127,13.949999999999989,101.8
1716019696040358000,13.0,20.39215686,43,33,1023.75,2769.4607069445,152.4022934142,5.310411047,2.449249667380594,46.7610725,23.500166833333335,420.8,113.15,5.692,08:08:16+00:00,24,-11,118,13.949999999999989,101.8
1716019696278855000,13.0,20.39215686,43,33,1023.75,2770.3219461111,152.4179661801,5.310282790563789,2.449249667380594,46.7610725,23.500166833333335,420.8,113.15,5.692,08:08:16+00:00,19,-11,121,13.949999999999989,101.8
1716019696518901000,13.0,17.647058823529413,43,33,1023.75,2771.1887788889,152.43161724,5.310138837443221,2.119542981387052,46.7610725,23.500166833333335,420.8,113.15,5.692,08:08:16+00:00,14,-14,122,13.949999999999989,101.8
1716019721989513000,14.0,27.84313725490196,55,33,2431.75,2787.5383158333,156.3056943414,5.332738736139118,11.904598336953153,46.761087,23.500011333333333,422.3,274.85,14.75,08:08:42+00:00,-4,12,123,13.949999999999989,101.8
1716019722229954000,14.0,27.84313725490196,49,33,2431.75,2788.4733641667,156.388400457,5.333058276847595,11.904598336953153,46.761087,23.500011333333333,422.3,274.85,14.75,08:08:42+00:00,-9,10,130,13.949999999999989,101.8
1716019722470495000,14.0,27.84313725490196,49,33,2623.75,2789.4088013889,156.4797365762,5.3334380741787095,13.141323024407958,46.761087,23.500011333333333,422.3,274.85,14.75,08:08:42+00:00,-4,13,128,13.949999999999989,101.8
1716019722740876000,14.0,26.666666666666668,49,33,2623.75,2790.4602830556,156.5780652488,5.3338345854001865,12.586055854362547,46.761087,23.500011333333333,422.3,274.85,14.75,08:08:42+00:00,-6,12,105,13.949999999999989,101.8
1716019722980210000,14.0,26.666666666666668,48,33,2623.75,2791.3910263889,156.6651031491,5.33418553,12.586055854362547,46.761092166666664,23.499954666666667,422.5,277.84,16.017,08:08:43+00:00,-4,11,116,13.949999999999989,101.8
1716019723219515000,14.0,26.666666666666668,48,33,2751.75,2792.3216569444,156.757353016,5.334572942,13.341345260663124,46.761092166666664,23.499954666666667,422.5,277.84,16.017,08:08:43+00:00,-4,8,113,13.949999999999989,101.8
1716019723460554000,14.0,24.705882352941178,48,33,2751.75,2793.2590308333,156.8434390953,5.334915318477316,12.36036399149672,46.761092166666664,23.499954666666667,422.5,277.84,16.017,08:08:43+00:00,2,1,143,13.949999999999989,101.8
1716019723700212000,16.0,24.705882352941178,48,33,2751.75,2794.3241775,156.9290319562,5.335218773037359,10.815318502216165,46.761092166666664,23.499954666666667,422.5,277.84,16.017,08:08:43+00:00,-5,8,126,13.949999999999989,101.8
1716019723940798000,16.0,24.705882352941178,43,33,2751.75,2795.3934486111,157.0149562484,5.335523368830822,10.815318502216165,46.7610985,23.499895,422.7,279.07,16.806,08:08:44+00:00,2,9,124,13.949999999999989,101.8
1716019724179179000,16.0,24.705882352941178,43,33,2879.75,2796.4529197222,157.1049804869,5.335859331016855,11.436194173323708,46.7610985,23.499895,422.7,279.07,16.806,08:08:44+00:00,3,-3,116,13.949999999999989,101.8
1716019724420102000,16.0,17.647058823529413,43,33,2879.75,2797.5236886111,157.1699692162,5.3360169900886305,8.168710123802652,46.7610985,23.499895,422.7,279.07,16.806,08:08:44+00:00,11,-3,124,13.949999999999989,101.8
1716019724660598000,16.0,17.647058823529413,29,33,2879.75,2798.5925597222,157.1699692162,5.335720562972486,0.0,46.7610985,23.499895,422.7,279.07,16.806,08:08:44+00:00,-1,0,124,13.949999999999989,101.8
1716019724900386000,16.0,17.647058823529413,29,33,2559.75,2799.6582841667,157.1699692162,5.335425041300053,0.0,46.761214523772075,23.499123348926023,422.9,280.06,15.706,08:08:45+00:00,2,-8,137,13.949999999999989,101.8
