TIME,Engine speed (RPM),MAP (kPa),Oxygen sensor 1 (V),Oxygen sensor 1 (%),Calculated engine load (%),IAT (Celsius),Throttle position (%)
1693757169.931384,2415.0,80,0.155,3.90625,47.450980392156865,39,29.80392156862745
1693757171.371027,2611.0,84,0.815,-1.5625,49.80392156862745,39,30.58823529411765
1693757172.810901,2846.0,84,0.83,-1.5625,55.294117647058826,40,30.98039215686275
1693757174.282109,3040.0,83,0.785,-7.8125,52.156862745098046,40,8.627450980392158
1693757175.751206,3218.0,27,0.04,0.0,17.647058823529413,40,14.11764705882353
1693757177.191415,2170.0,54,0.085,6.25,34.50980392156863,41,18.43137254901961
1693757178.661093,2222.0,57,0.745,-5.46875,34.50980392156863,41,18.43137254901961
1693757180.102622,2249.0,56,0.805,-4.6875,32.94117647058824,41,16.47058823529412
1693757181.573728,2264.0,33,0.895,-10.9375,17.647058823529413,40,8.627450980392158
1693757183.011464,2208.0,31,0.0,0.0,17.647058823529413,40,13.333333333333334
1693757184.481443,2123.0,40,0.04,3.90625,34.50980392156863,40,18.823529411764707
1693757185.951116,2118.0,50,0.875,-0.78125,21.96078431372549,40,8.627450980392158
1693757187.421027,3079.0,32,0.0,0.0,17.647058823529413,40,9.019607843137255
1693757188.831203,2690.0,37,0.0,0.0,18.823529411764707,40,15.686274509803923
1693757190.241905,2653.0,44,0.665,2.34375,20.3921568627451,40,10.588235294117649
1693757191.651387,2623.0,27,0.04,0.0,17.647058823529413,40,8.627450980392158
1693757193.151617,2490.0,29,0.0,0.0,17.647058823529413,40,8.627450980392158
1693757194.591835,2235.0,28,0.0,0.0,75.68627450980392,40,8.627450980392158
1693757196.061653,3112.0,28,0.0,0.0,17.647058823529413,40,8.627450980392158
1693757197.561254,2862.0,29,0.0,0.0,17.647058823529413,40,8.627450980392158
1693757199.001308,2428.0,28,0.0,0.0,17.647058823529413,40,8.627450980392158
1693757200.472157,2024.0,30,0.0,0.0,17.647058823529413,40,8.627450980392158
1693757201.911928,1578.0,36,0.025,2.34375,25.098039215686278,40,17.254901960784316
1693757203.322122,1602.0,62,0.655,10.15625,31.372549019607845,40,16.07843137254902
1693757204.732116,1792.0,54,0.765,-1.5625,31.372549019607845,40,18.823529411764707
1693757206.201689,2019.0,66,0.09,5.46875,45.490196078431374,40,24.705882352941178
1693757207.642013,2465.0,71,0.795,7.03125,45.490196078431374,40,27.058823529411768
1693757209.082008,2979.0,72,0.875,3.90625,17.647058823529413,40,8.627450980392158
