TIME,Engine speed (RPM),MAP (kPa),Oxygen sensor 1 (V),Oxygen sensor 1 (%),Calculated engine load (%),IAT (Celsius),Throttle position (%)
1693759101.811251,1903.0,39,0.01,2.34375,25.098039215686278,38,13.725490196078432
1693759103.27978,1993.0,37,0.0,0.0,18.823529411764707,38,15.294117647058824
1693759104.721217,2083.0,43,0.515,0.0,18.823529411764707,37,17.647058823529413
1693759106.222942,2208.0,51,0.565,8.59375,23.529411764705884,38,15.686274509803923
1693759107.689659,2478.0,32,0.775,0.0,17.647058823529413,37,12.15686274509804
1693759109.159577,2463.0,34,0.0,0.0,17.647058823529413,37,12.941176470588236
1693759110.660173,2254.0,34,0.0,0.0,17.647058823529413,38,13.333333333333334
1693759112.12898,2072.0,36,0.0,0.0,18.823529411764707,38,13.725490196078432
1693759113.659988,1855.0,40,0.04,0.0,17.647058823529413,38,9.803921568627452
1693759115.099798,1841.0,41,0.025,3.125,20.784313725490197,38,11.764705882352942
1693759116.599891,2043.0,50,0.04,4.6875,17.647058823529413,38,8.627450980392158
1693759118.039726,1946.0,41,0.035,3.90625,22.35294117647059,38,10.980392156862745
1693759119.510322,1878.0,36,0.0,0.78125,18.823529411764707,38,8.627450980392158
1693759120.9802,2019.0,27,0.06,5.46875,17.647058823529413,37,8.627450980392158
1693759122.480136,1984.0,26,0.0,0.0,17.647058823529413,37,8.627450980392158
1693759123.954373,1743.0,32,0.0,0.0,17.647058823529413,38,11.372549019607844
1693759125.4216,1583.0,42,0.04,3.90625,20.784313725490197,38,15.686274509803923
1693759126.890317,1604.0,52,0.9,7.03125,20.784313725490197,38,15.294117647058824
1693759128.360793,1893.0,52,0.055,5.46875,27.058823529411768,38,14.901960784313726
1693759129.800056,2099.0,41,0.075,5.46875,20.784313725490197,38,13.725490196078432
1693759131.240267,2282.0,35,0.25,0.78125,17.647058823529413,38,12.15686274509804
1693759132.739067,2309.0,38,0.035,3.90625,17.647058823529413,38,11.372549019607844
1693759134.209225,2347.0,29,0.0,0.0,17.647058823529413,38,12.941176470588236
1693759135.740225,2201.0,34,0.0,0.0,17.647058823529413,38,13.333333333333334
1693759137.210797,1995.0,39,0.03,3.90625,20.784313725490197,38,14.11764705882353
1693759138.651311,2164.0,39,0.825,4.6875,18.823529411764707,38,13.333333333333334
1693759140.121988,2322.0,34,0.58,0.0,17.647058823529413,38,13.333333333333334
1693759141.620426,2321.0,38,0.04,4.6875,18.823529411764707,38,13.725490196078432
1693759143.150458,2385.0,37,0.815,3.90625,17.647058823529413,38,12.15686274509804
1693759144.710409,2470.0,29,0.055,0.0,17.647058823529413,38,12.549019607843139
1693759146.183679,2313.0,36,0.0,1.5625,17.647058823529413,38,13.725490196078432
1693759147.65036,2380.0,35,0.795,3.125,17.647058823529413,38,13.333333333333334
1693759149.120785,2353.0,36,0.0,0.0,17.647058823529413,38,14.11764705882353
1693759150.593119,2382.0,39,0.21,9.375,18.823529411764707,38,13.725490196078432
1693759152.091758,2521.0,38,0.29,4.6875,17.647058823529413,38,8.627450980392158
1693759153.593492,2611.0,27,0.005,0.0,17.647058823529413,38,8.627450980392158
1693759155.09185,2342.0,27,0.0,0.0,17.647058823529413,38,12.941176470588236
1693759156.530304,2105.0,36,0.025,3.125,17.647058823529413,38,13.725490196078432
1693759157.970729,2208.0,39,0.845,5.46875,18.823529411764707,38,12.941176470588236
1693759159.440374,2312.0,33,0.105,0.0,17.647058823529413,38,14.11764705882353
1693759160.880496,2173.0,40,0.07,6.25,20.784313725490197,38,13.333333333333334
1693759162.351378,2368.0,34,0.455,0.0,17.647058823529413,38,14.901960784313726
1693759163.882773,2210.0,40,0.05,5.46875,18.823529411764707,38,13.333333333333334
1693759165.384306,2417.0,34,0.13,6.25,17.647058823529413,38,12.941176470588236
1693759166.854595,2254.0,38,0.03,3.125,20.784313725490197,38,14.50980392156863
1693759168.322024,2412.0,39,0.13,6.25,18.823529411764707,38,13.725490196078432
1693759169.824463,2525.0,36,0.83,3.125,17.647058823529413,38,12.941176470588236
1693759171.291426,2445.0,36,0.0,0.0,18.823529411764707,38,14.901960784313726
1693759172.702866,2424.0,40,0.81,7.03125,18.823529411764707,38,14.11764705882353
1693759174.201686,2627.0,37,0.82,0.0,17.647058823529413,38,12.549019607843139
1693759175.671938,2600.0,37,0.0,0.0,17.647058823529413,38,13.725490196078432
1693759177.143445,2373.0,39,0.06,7.03125,18.823529411764707,38,13.725490196078432
1693759178.611669,2555.0,35,0.855,3.125,17.647058823529413,38,11.372549019607844
1693759180.050749,2488.0,31,0.0,0.0,17.647058823529413,38,12.941176470588236
1693759181.580555,2225.0,35,0.0,0.0,17.647058823529413,38,14.901960784313726
1693759183.081432,2181.0,43,0.68,8.59375,22.35294117647059,38,13.725490196078432
1693759184.520658,2369.0,38,0.745,0.0,18.823529411764707,38,13.725490196078432
1693759185.99122,2518.0,38,0.175,6.25,17.647058823529413,38,11.764705882352942
1693759187.460808,2611.0,31,0.045,3.90625,17.647058823529413,38,13.333333333333334
1693759188.901469,2595.0,38,0.045,5.46875,17.647058823529413,38,12.941176470588236
1693759190.461017,2535.0,32,0.0,0.0,17.647058823529413,38,13.725490196078432
1693759191.961469,2512.0,38,0.79,5.46875,17.647058823529413,38,11.372549019607844
1693759193.401678,2514.0,33,0.0,0.0,17.647058823529413,38,13.333333333333334
1693759194.841206,2273.0,36,0.025,2.34375,20.784313725490197,38,19.215686274509807
1693759196.371037,2465.0,78,0.59,10.15625,55.68627450980392,38,20.3921568627451
1693759197.871031,2982.0,31,0.845,-8.59375,17.647058823529413,37,8.627450980392158
1693759199.342407,2027.0,33,0.0,1.5625,17.647058823529413,37,8.627450980392158
1693759200.810719,1274.0,39,0.91,1.5625,17.647058823529413,37,8.627450980392158
1693759202.311003,1004.0,45,0.145,0.78125,20.784313725490197,37,8.627450980392158
1693759203.751149,1012.0,45,0.685,-3.125,22.35294117647059,37,8.627450980392158
1693759205.221075,1036.0,44,0.8,-3.90625,20.784313725490197,37,14.50980392156863
1693759206.691098,1217.0,78,0.055,4.6875,63.529411764705884,37,42.74509803921569
1693759208.13154,2794.0,87,0.94,6.25,17.647058823529413,37,8.627450980392158
1693759209.691173,2598.0,32,0.01,2.34375,34.90196078431373,37,30.98039215686275
1693759211.19161,2328.0,84,0.105,7.03125,63.529411764705884,37,32.15686274509804
1693759212.661268,3113.0,47,0.915,0.0,17.647058823529413,37,8.627450980392158
1693759214.161673,2307.0,49,0.04,3.125,55.68627450980392,37,27.84313725490196
1693759215.631168,2197.0,79,0.765,7.03125,52.54901960784314,37,26.27450980392157
1693759217.101457,2471.0,84,0.26,-0.78125,47.84313725490196,37,30.196078431372552
1693759218.542206,2695.0,83,0.12,3.125,47.84313725490196,37,23.529411764705884
1693759219.953385,2888.0,64,0.75,-2.34375,38.43137254901961,37,8.627450980392158
1693759221.452276,3016.0,26,0.88,0.0,17.647058823529413,37,15.686274509803923
1693759222.95125,2963.0,47,0.83,6.25,27.058823529411768,38,14.50980392156863
1693759224.481669,3055.0,26,0.865,0.0,17.647058823529413,38,8.627450980392158
1693759225.981678,2981.0,27,0.0,0.0,17.647058823529413,38,8.627450980392158
