TIME,Engine speed (RPM),Oxygen sensor 1 (V),Oxygen sensor 1 (%)
1693757737.71979,2342.0,0.0,0.0
1693757738.229625,2344.0,0.045,4.6875
1693757738.709603,2319.0,0.3,8.59375
1693757739.190027,2320.0,0.625,2.34375
1693757739.669934,2318.0,0.76,4.6875
1693757740.14937,2309.0,0.09,5.46875
1693757740.60212,2324.0,0.79,5.46875
1693757741.079077,2313.0,0.175,4.6875
1693757741.560087,2322.0,0.83,3.90625
1693757742.069646,2327.0,0.105,4.6875
1693757742.579118,2337.0,0.83,6.25
1693757743.059312,2342.0,0.85,0.0
1693757743.54025,2299.0,0.735,-3.90625
1693757744.019158,2314.0,0.065,0.0
1693757744.560863,2273.0,0.0,1.5625
1693757745.039578,2243.0,0.07,4.6875
1693757745.520145,2254.0,0.875,3.90625
1693757746.02999,2230.0,0.84,0.0
1693757746.509242,2233.0,0.07,0.78125
1693757746.98962,2175.0,0.05,4.6875
1693757747.46992,2194.0,0.08,7.8125
1693757747.949868,2211.0,0.64,3.90625
1693757748.430189,2214.0,0.805,5.46875
1693757748.940487,2221.0,0.125,10.15625
1693757749.480096,2243.0,0.79,4.6875
1693757749.959606,2282.0,0.835,6.25
1693757750.440324,2322.0,0.075,8.59375
1693757750.920068,2370.0,0.84,10.15625
1693757751.399514,2426.0,0.13,10.15625
1693757751.879992,2482.0,0.65,7.03125
1693757752.390455,2534.0,0.415,15.625
1693757752.869846,2592.0,0.08,15.625
1693757753.350038,2650.0,0.815,14.0625
1693757753.830005,2708.0,0.235,16.40625
1693757754.309923,2763.0,0.25,13.28125
1693757754.790162,2824.0,0.81,11.71875
1693757755.269821,2885.0,0.6,15.625
1693757755.749404,2934.0,0.23,11.71875
1693757756.229442,2998.0,0.78,9.375
1693757756.709531,3051.0,0.795,12.5
1693757757.21977,3081.0,0.94,3.90625
1693757757.702196,3157.0,0.91,-0.78125
1693757758.179445,2612.0,0.0,0.0
1693757758.659413,2491.0,0.055,4.6875
1693757759.139607,2461.0,0.83,3.125
1693757759.619743,2469.0,0.11,4.6875
1693757760.100296,2477.0,0.89,0.0
1693757760.579641,2486.0,0.18,-1.5625
1693757761.089848,2496.0,0.685,3.125
1693757761.569551,2497.0,0.095,1.5625
1693757762.04996,2500.0,0.84,0.0
1693757762.53007,2504.0,0.095,1.5625
1693757762.9812,2506.0,0.85,0.0
1693757763.460031,2505.0,0.205,-1.5625
1693757763.940184,2507.0,0.82,-1.5625
1693757764.421631,2509.0,0.105,-1.5625
1693757764.930184,2511.0,0.83,-1.5625
1693757765.440078,2519.0,0.275,2.34375
1693757765.920342,2522.0,0.18,0.0
1693757766.40013,2525.0,0.805,-1.5625
1693757766.881431,2528.0,0.465,3.125
1693757767.360308,2530.0,0.175,0.78125
1693757767.839848,2534.0,0.77,-2.34375
1693757768.31962,2540.0,0.465,2.34375
1693757768.82965,2542.0,0.225,-1.5625
1693757769.310656,2545.0,0.835,-3.125
1693757769.789964,2544.0,0.61,-7.8125
1693757770.269615,2540.0,0.115,-1.5625
1693757770.749717,2536.0,0.81,-2.34375
1693757771.229791,2535.0,0.09,0.78125
1693757771.740011,2535.0,0.415,-3.125
1693757772.219648,2538.0,0.855,-0.78125
1693757772.729707,2538.0,0.09,1.5625
1693757773.239832,2547.0,0.795,-2.34375
1693757773.719583,2547.0,0.165,0.0
1693757774.199899,2553.0,0.64,-6.25
1693757774.681002,2561.0,0.815,-3.90625
1693757775.159846,2563.0,0.135,-1.5625
1693757775.639124,2564.0,0.75,-6.25
1693757776.149832,2565.0,0.34,-0.78125
1693757776.659084,2573.0,0.52,-7.8125
1693757777.140248,2579.0,0.56,-5.46875
1693757777.6204,2594.0,0.03,1.5625
1693757778.10025,2623.0,0.04,7.03125
1693757778.580425,2651.0,0.05,13.28125
1693757779.060267,2682.0,0.16,18.75
1693757779.54036,2711.0,0.645,13.28125
1693757780.049985,2746.0,0.83,15.625
1693757780.559805,2783.0,0.155,18.75
1693757781.040614,2812.0,0.67,13.28125
1693757781.520326,2843.0,0.295,19.53125
1693757782.030356,2872.0,0.215,16.40625
1693757782.510315,2906.0,0.83,15.625
1693757782.990618,2939.0,0.745,15.625
1693757783.469945,2957.0,0.88,9.375
1693757783.950106,2977.0,0.84,2.34375
1693757784.462753,2989.0,0.09,4.6875
1693757784.940404,2996.0,0.84,-1.5625
1693757785.41974,3006.0,0.59,-7.8125
1693757785.899967,3011.0,0.12,0.78125
1693757786.379803,3008.0,0.335,-0.78125
1693757786.860228,3010.0,0.79,4.6875
1693757787.339912,3010.0,0.205,2.34375
1693757787.85086,3002.0,0.635,-3.90625
1693757788.329931,2994.0,0.4,3.90625
1693757788.809792,2989.0,0.095,3.90625
1693757789.320101,2986.0,0.74,0.0
1693757789.799953,2983.0,0.565,6.25
