TIME,Engine speed (RPM),MAP (kPa),Oxygen sensor 1 (V),Oxygen sensor 1 (%)
1693756623.743099,1206.0,50,0.02,2.34375
1693756624.523485,1029.0,51,0.05,4.6875
1693756625.243087,1735.0,35,0.89,2.34375
1693756625.994019,1633.0,45,0.05,5.46875
1693756626.713227,1612.0,66,0.35,10.15625
1693756627.433494,1732.0,64,0.815,3.125
1693756628.183844,1838.0,61,0.205,1.5625
1693756628.933821,1925.0,60,0.72,-0.78125
1693756629.65392,2079.0,72,0.08,7.03125
1693756630.373509,2311.0,75,0.695,0.0
1693756631.12396,2567.0,68,0.675,0.0
1693756631.843904,2780.0,61,0.585,-1.5625
1693756632.593549,2962.0,65,0.85,5.46875
1693756633.313387,3128.0,63,0.12,0.78125
1693756634.034054,3336.0,58,0.085,1.5625
1693756634.753408,3498.0,55,0.87,-1.5625
1693756635.474058,3630.0,36,0.845,-3.90625
1693756636.225264,3620.0,31,0.05,0.0
1693756636.944176,3634.0,41,0.45,-3.90625
1693756637.664207,3722.0,50,0.77,-3.125
1693756638.416115,3846.0,48,0.825,-2.34375
1693756639.133608,3975.0,49,0.865,0.0
1693756639.913645,4103.0,35,0.11,-7.03125
1693756640.633813,4153.0,40,0.83,-3.125
1693756641.354578,4195.0,42,0.8,-3.90625
1693756642.074285,4266.0,43,0.78,-3.90625
1693756642.793502,4368.0,42,0.79,-1.5625
1693756643.543813,4464.0,42,0.7,-7.03125
1693756644.264121,4537.0,42,0.67,-8.59375
1693756645.013925,4618.0,42,0.41,-10.9375
1693756645.822969,4717.0,41,0.84,1.5625
1693756646.573498,4618.0,21,0.0,0.0
1693756647.293555,3359.0,28,0.0,0.0
1693756648.044094,2933.0,37,0.05,4.6875
1693756648.734119,2910.0,47,0.83,-2.34375
1693756649.453481,2930.0,59,0.87,-2.34375
1693756650.17384,2967.0,59,0.135,0.78125
1693756650.893542,3006.0,59,0.235,-0.78125
1693756651.644388,3073.0,59,0.205,-2.34375
1693756652.364214,3112.0,58,0.2,-3.125
1693756653.084103,3155.0,57,0.855,-7.03125
1693756653.804041,3162.0,27,0.85,-14.0625
1693756654.524256,3124.0,27,0.0,0.0
1693756655.274348,3000.0,27,0.0,0.0
1693756656.023497,2917.0,80,0.0,0.0
1693756656.774122,3582.0,26,0.0,1.5625
1693756657.493753,4041.0,24,0.0,0.0
1693756658.214169,4128.0,22,0.0,0.0
1693756658.964059,4083.0,22,0.0,0.0
1693756659.714149,3874.0,22,0.0,0.0
1693756660.433685,3669.0,22,0.0,0.0
1693756661.185716,3451.0,22,0.0,0.0
1693756661.904593,3275.0,23,0.0,0.0
1693756662.624195,3112.0,25,0.0,0.0
1693756663.375351,2890.0,27,0.0,0.0
1693756664.093892,2730.0,44,0.055,5.46875
1693756664.814291,2853.0,53,0.785,0.0
1693756665.534597,2950.0,65,0.615,10.9375
1693756666.254488,3158.0,62,0.72,9.375
1693756667.00417,3342.0,57,0.83,5.46875
1693756667.724396,3548.0,55,0.85,4.6875
1693756668.444437,3737.0,54,0.835,3.125
